Sentence,IsFitnessRelated
Writing daily in a journal can improve mental health.,FALSE
Volunteering in community services can be fulfilling.,FALSE
Consistent workout routines lead to long-term health benefits.,TRUE
Volunteering in community services can be fulfilling.,FALSE
Yoga promotes flexibility and stress reduction.,TRUE
Traveling to new places broadens perspectives.,FALSE
Joining a gym can offer access to various exercise equipment.,TRUE
Consistent workout routines lead to long-term health benefits.,TRUE
Outdoor activities like hiking offer both fitness and enjoyment.,TRUE
Cooking at home allows for healthier meal choices.,FALSE
Eating a balanced diet supports physical fitness goals.,TRUE
Yoga promotes flexibility and stress reduction.,TRUE
Outdoor activities like hiking offer both fitness and enjoyment.,TRUE
Yoga promotes flexibility and stress reduction.,TRUE
Painting and drawing are great ways to express creativity.,FALSE
Cooking at home allows for healthier meal choices.,FALSE
Strength training improves muscle tone and overall fitness.,TRUE
Playing musical instruments develops discipline and skill.,FALSE
Joining a gym can offer access to various exercise equipment.,TRUE
Cooking at home allows for healthier meal choices.,FALSE
Joining a gym can offer access to various exercise equipment.,TRUE
Yoga promotes flexibility and stress reduction.,TRUE
Learning a new language improves cognitive abilities.,FALSE
Playing musical instruments develops discipline and skill.,FALSE
Cardiovascular activities like running or cycling boost heart health.,TRUE
Cooking at home allows for healthier meal choices.,FALSE
Strength training improves muscle tone and overall fitness.,TRUE
Gardening is a rewarding hobby that beautifies your space.,FALSE
Cooking at home allows for healthier meal choices.,FALSE
Consistent workout routines lead to long-term health benefits.,TRUE
Cooking at home allows for healthier meal choices.,FALSE
Learning a new language improves cognitive abilities.,FALSE
Painting and drawing are great ways to express creativity.,FALSE
Traveling to new places broadens perspectives.,FALSE
Cardiovascular activities like running or cycling boost heart health.,TRUE
Painting and drawing are great ways to express creativity.,FALSE
Eating a balanced diet supports physical fitness goals.,TRUE
Cooking at home allows for healthier meal choices.,FALSE
Volunteering in community services can be fulfilling.,FALSE
Photography captures memories and beautiful moments.,FALSE
Personal trainers can provide customized fitness plans.,TRUE
Outdoor activities like hiking offer both fitness and enjoyment.,TRUE
Outdoor activities like hiking offer both fitness and enjoyment.,TRUE
Yoga promotes flexibility and stress reduction.,TRUE
Photography captures memories and beautiful moments.,FALSE
Joining a gym can offer access to various exercise equipment.,TRUE
Strength training improves muscle tone and overall fitness.,TRUE
Strength training improves muscle tone and overall fitness.,TRUE
Staying hydrated is essential during workouts.,TRUE
Reading books enhances knowledge and relaxes the mind.,FALSE
Strength training improves muscle tone and overall fitness.,TRUE
Joining a gym can offer access to various exercise equipment.,TRUE
